rank,score,hidden,competition,mli,county,state,metro,legal,legal_note,homes_sold,population,pop_growth_4yr,permits_2025,permits_per_1k,median_price,months_supply,median_dom,sale_to_list,price_yoy,sales_yoy,period
1,100.0,4.3,95.7,7.3,"Horry County, SC",SC,"Myrtle Beach, SC",Mktg limits,HB 4754: no advertising property you don't own,1301,413391,0.168500674149681,6511,15.75,325000.0,6.3,101.0,0.9731443152,-0.02985074627,0.02764612954,2026-05-31
2,99.9,27.6,72.3,6.0,"Bastrop County, TX",TX,"Austin, TX",Disclosure,Must disclose equitable interest when marketing,108,114931,0.17190431519699811,2269,19.74,341000.0,7.2,95.0,0.9653202622,-0.02234837082,0.125,2026-05-31
3,99.9,19.7,80.2,47.9,"Sumter County, FL",FL,"The Villages, FL",Clear,"Generally permitted; use 'and/or assigns', market privately",205,154693,0.1871791132974682,3516,22.73,345000.0,3.1,53.0,0.9672820726,0.04545454545,-0.01442307692,2026-05-31
4,99.8,16.4,83.4,24.9,"Flagler County, FL",FL,"Deltona, FL",Clear,"Generally permitted; use 'and/or assigns', market privately",335,136744,0.17850248207391065,2586,18.91,365000.0,4.3,75.0,0.9738558775,0.02961918195,0.046875,2026-05-31
5,99.8,2.1,97.7,38.2,"Montgomery County, TX",TX,"Houston, TX",Disclosure,Must disclose equitable interest when marketing,1457,749613,0.19857535735985418,13614,18.16,346740.0,3.6,56.0,0.9619147749,0.03504477612,-0.04207758054,2026-05-31
6,99.7,10.6,89.1,24.5,"Hays County, TX",TX,"Austin, TX",Disclosure,Must disclose equitable interest when marketing,395,292029,0.19689902782104038,4595,15.73,371540.0,5.5,60.0,0.9764876126,-0.05098339719,-0.26716141,2026-05-31
7,99.7,4.3,95.4,36.2,"Pinal County, AZ",AZ,"Phoenix, AZ",Clear,"Generally permitted; use 'and/or assigns', market privately",955,513862,0.19443624437197388,8048,15.66,385000.0,3.6,71.0,0.9842082694,0.0,0.009513742072,2026-05-31
8,99.6,11.0,88.6,17.3,"Brunswick County, NC",NC,"Myrtle Beach, SC",License req'd,HB 707 (Oct 2025): wholesaling defined as brokerage,637,167112,0.20949286008960172,4457,26.67,396900.0,4.6,92.0,0.9792922888,0.01769230769,0.1436265709,2026-05-31
9,99.6,5.9,93.7,22.7,"Osceola County, FL",FL,"Orlando, FL",Clear,"Generally permitted; use 'and/or assigns', market privately",698,468058,0.19658045367276558,7366,15.74,385510.5,5.6,62.0,0.9755108725,-0.06427219107,-0.1231155779,2026-05-31
10,99.5,39.6,59.9,45.4,"Jasper County, SC",SC,"Hilton Head Island, SC",Mktg limits,HB 4754: no advertising property you don't own,113,35618,0.22197063263345684,1858,52.16,416240.0,3.7,57.0,0.9855571007,-0.08518681319,-0.008771929825,2026-05-31
